tokens,count,min,mean,max
account auditor,3926,43000,86991.0524707081,242463
account,1465,3077,61638.62525597269,145000
account manag,432,3100,100739.58564814815,170280
staff account,395,35120,58100.77974683544,104000
account execut,119,30000,100022.16806722688,235000
senior account,102,6500,78937.22549019608,164507
account strategist,78,75000,93797.2564102564,140000
account analyst,57,2505,66046.91228070176,92000
technic account manag,51,65686,110546.23529411765,218000
tax account,46,42744,59505.717391304344,90000
