city,count,min,mean,max
NEW YORK,1153,38667,90569.53859496965,235000
SAN FRANCISCO,358,58760,101832.98044692738,230000
HOUSTON,302,39686,81319.94039735099,143945
CHICAGO,276,47260,75628.54347826086,159863
LOS ANGELES,219,47800,77487.48401826483,190000
DALLAS,218,50000,78796.54587155963,200000
SAN JOSE,203,56820,94118.11822660099,186137
BOSTON,169,51920,77553.14792899408,143300
MCLEAN,140,52252,90666.05714285714,189375
ATLANTA,116,42973,67983.56034482758,136686
SEATTLE,94,48440,88752.17021276595,186243
DETROIT,82,54000,73978.68292682926,113326
IRVINE,71,49460,75893.95774647887,148594
PHILADELPHIA,68,50760,83797.58823529411,182712
HOBOKEN,58,60000,91597.60344827586,230917
REDWOOD CITY,57,76648,107550.82456140351,169000
FLUSHING,50,56100,60703.08,80000
SUNNYVALE,49,60000,119239.83673469388,170000
MINNEAPOLIS,49,53000,61293.38775510204,85200
ST. LOUIS,45,51000,82005.0,159863
