company,count,min,mean,max
ERNST & YOUNG US LLP,3903,47500,87143.87701767871,242463
GOOGLE LLC,344,73000,113139.5988372093,235000
LATENTVIEW ANALYTICS CORPORATION,24,104040,120408.0,135500
UBER TECHNOLOGIES INC,22,42973,83407.81818181818,118800
LIGHTHOUSE CONSULTANTS INC,21,47800,57600.0,80000
MICROSOFT CORPORATION,18,95420,119312.88888888889,142400
LIAO KIN & COMPANY PC,15,50040,58408.0,68000
CHUGH CPAS LLP,15,46800,58236.666666666664,72500
LAM PO & XU CPA'S,15,52000,53229.4,56650
HOTTA LIESENBERG SAITO LLP,12,50000,51833.333333333336,58500
BHATIA & CO INC CPAS,11,53400,55962.818181818184,59093
SINGERLEWAK LLP,11,49712,57826.181818181816,70000
UST GLOBAL INC,10,110000,144243.2,163072
EQUINOX IT SOLUTIONS LLC,10,62816,73083.0,90750
CISCO SYSTEMS INC,10,75067,80708.0,91374
LI XU & ASSOCIATES CPA PLLC,9,56200,63400.0,77000
LEVENSON KATZIN & BALLOTTA PA,9,55000,56024.666666666664,58074
LAS COLINAS INTERNATIONAL INC,9,50000,55000.0,65000
KK MEHTA CPA ASSOCIATES PLLC,9,60000,65222.22222222222,72000
AMAZON WEB SERVICES INC,9,70600,70600.0,70600
