tokens,count,min,mean,max
databas administr,2220,38380,82276.58828828829,650000
system administr,978,40000,79745.49488752556,179025
network administr,440,55723,85174.56363636363,132600
network comput system administr,301,50000,77038.04983388704,160000
network administr iii,294,61610,93813.19047619047,115000
senior databas administr,170,71660,104857.48235294118,183872
oracl databas administr,167,60000,90116.52694610778,160000
hadoop administr,85,60000,84684.65882352942,145000
network system administr,69,59000,83897.82608695653,145000
administr,61,46440,81392.5737704918,120000
