city,count,min,mean,max
IRVING,157,60000,80769.28025477707,117300
HOUSTON,150,54517,78608.84,103000
SUNNYVALE,113,76000,97597.2831858407,180000
ALPHARETTA,104,56950,80469.73076923077,135000
AUSTIN,102,64000,82788.94117647059,163021
NEW YORK,96,62421,90427.19791666667,205100
ATLANTA,89,54640,78458.2808988764,160000
DALLAS,85,60528,84818.01176470588,130000
REDMOND,78,81266,89776.84615384616,114795
CHICAGO,65,57080,80469.76923076923,120000
FRISCO,64,60528,94943.03125,111654
WASHINGTON,63,67000,92196.23809523809,150000
EDISON,63,64168,85853.33333333333,103360
SAN JOSE,62,68250,90524.29032258065,147900
PLANO,59,58200,89157.57627118644,135000
CHARLOTTE,58,60000,86840.29310344828,131040
HOBOKEN,57,83512,91319.50877192983,120200
PHOENIX,54,68515,76600.5925925926,152000
SAN FRANCISCO,49,72500,117005.69387755102,208400
TAMPA,48,64598,81377.72916666667,131260
