company,count,min,mean,max
TATA CONSULTANCY SERVICES LIMITED,549,57387,74853.14571948998,130000
HCL AMERICA INC,500,60000,94225.324,132600
WIPRO LIMITED,442,60000,75781.46153846153,90771
LARSEN & TOUBRO INFOTECH LIMITED,385,60000,80427.98701298701,112560
L&T TECHNOLOGY SERVICES LIMITED,84,63000,72352.92857142857,86000
ERNST & YOUNG US LLP,78,90000,124419.15384615384,208400
SREE INFOTECH LLC,66,63600,82214.54545454546,120000
COMPUNNEL SOFTWARE GROUP INC,59,67000,80336.22033898305,102000
TECH MAHINDRA (AMERICAS)INC,48,65895,76864.39583333333,95851
IBM INDIA PRIVATE LIMITED,42,71802,81036.09523809524,96221
INFOSHARE SYSTEMS INC,38,62421,69641.94736842105,91936
INFOLOB SOLUTIONS INC,36,80160,94751.66666666667,116000
MPHASIS CORPORATION,34,67357,87243.05882352941,145000
CAPGEMINI AMERICA INC,33,71700,85318.18181818182,105900
IBM CORPORATION,32,67454,86885.9375,105872
SYSTEMS TECHNOLOGY GROUP INC,32,84620,96222.5,113460
ACCENTURE LLP,30,65915,89783.56666666667,109400
LAKSAN TECHNOLOGIES LLC,28,84000,89142.85714285714,111000
SANCTITYINTERNATIONAL LLC,26,60000,61923.07692307692,65000
TECH MAHINDRA (AMERICAS) INC,21,72426,83623.0,123000
