tokens,count,min,mean,max
comput system analyst,9146,2400,108543.97550841898,277000
senior system analyst,8935,60000,79804.65036373811,191000
analyst,8728,34403,82952.46723189735,700000
programm analyst,5613,44158,81616.63317299126,184000
system analyst,4416,36000,79171.06906702899,193425
busi analyst,4289,33860,83744.55071112147,320000
busi system analyst,3345,42000,85012.45710014948,180000
financi analyst,1953,38043,106994.24372759857,253800
data analyst,1736,37835,80452.04205069125,165000
inform secur analyst,1310,4167,120564.11221374046,256000
