city,count,min,mean,max
NEW YORK,5085,45520,100769.20688298918,350000
CHICAGO,1320,43992,91613.72803030303,250600
ATLANTA,1295,34500,84892.5196911197,256000
JERSEY CITY,1136,56742,104282.03257042254,226000
SAN FRANCISCO,960,61006,108285.47916666667,277000
CHARLOTTE,868,50000,92993.79147465438,240000
DALLAS,841,46800,87499.37455410227,277000
HOUSTON,832,34403,89413.67067307692,277000
SAN JOSE,749,51355,102427.09612817089,270000
HARTFORD,662,71406,83570.0332326284,193425
IRVING,620,50600,88398.1870967742,277000
PLANO,615,53477,84283.78211382114,277000
TAMPA,612,54579,74173.29901960785,170000
SUNNYVALE,557,67288,101759.90305206463,170000
SALT LAKE CITY,539,43400,68154.87569573284,500000
BOSTON,538,38709,89752.00371747212,252000
HOBOKEN,529,60000,120838.55576559546,275500
COLUMBUS,522,46238,86874.03256704981,217500
AUSTIN,516,48485,85291.52519379844,277000
ALPHARETTA,471,54000,87146.91507430997,195500
