company,count,min,mean,max
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,11107,60000,78175.08814261276,102898
ERNST & YOUNG US LLP,6639,57000,131082.17894261185,277000
CAPGEMINI AMERICA INC,2278,55200,83896.55662862159,150000
LARSEN & TOUBRO INFOTECH LIMITED,2220,57117,84351.04954954956,136366
HCL AMERICA INC,2154,60000,80178.26183844011,193425
TATA CONSULTANCY SERVICES LIMITED,1797,60100,76081.24207011686,140000
GOLDMAN SACHS & CO LLC,1380,49500,89437.97101449275,500000
DELOITTE CONSULTING LLP,1160,34403,63939.6724137931,94557
GOLDMAN SACHS SERVICES LLC,1070,48000,100019.6261682243,120000
ACCENTURE LLP,1069,61300,88671.3199251637,140200
WIPRO LIMITED,1050,60000,74567.16952380953,107141
TECH MAHINDRA (AMERICAS)INC,574,61800,80375.90592334495,130000
BLACKROCK FINANCIAL MANAGEMENT INC,390,47902,79752.95384615385,96366
RELIABLE SOFTWARE RESOURCES INC,325,60000,81504.61538461539,103000
UST GLOBAL INC,276,58000,82576.47101449275,137903
GOLDMAN SACHS BANK USA,275,47000,95241.81818181818,120000
MORGAN STANLEY SERVICES GROUP INC,258,72689,101236.61627906977,110000
NIIT TECHNOLOGIES LIMITED,223,68885,78484.0,114754
GOOGLE LLC,207,86500,129131.40096618357,198500
COMPUNNEL SOFTWARE GROUP INC,194,68000,83109.45360824742,104208
