tokens,count,min,mean,max
architect,5454,40000,75851.87898789879,220000
solut architect,1475,59467,106926.10915254237,220000
technolog architect,762,75000,107883.87532808399,145000
technic architect,626,62088,103032.50479233227,180000
architect level,620,57117,80528.78064516129,122221
applic architect,506,56500,103724.35968379446,175000
softwar architect,437,65000,107373.61327231121,215000
system architect,390,60000,96182.44358974359,197825
system architect iii,338,60000,105287.0798816568,165000
senior technolog architect,326,100000,125326.25766871165,149518
