city,count,min,mean,max
NEW YORK,426,47340,87678.83568075117,220000
SAN JOSE,329,85883,112677.88753799393,220000
AUSTIN,328,71552,83553.63414634146,160000
SUNNYVALE,297,90000,109911.34680134681,200000
PHOENIX,272,57200,82157.8419117647,150000
ATLANTA,263,53409,90983.74524714828,160000
CHICAGO,240,46966,89656.97916666667,155000
CHARLOTTE,185,63544,82403.98918918919,165000
IRVING,180,78000,98506.91111111111,190000
TAMPA,177,65832,81462.61581920904,140000
PLANO,142,67413,95868.57042253521,202000
HOUSTON,134,53000,98541.75373134328,160000
JERSEY CITY,128,74443,86735.0078125,194000
PHILADELPHIA,117,49200,92689.77777777778,150000
SEATTLE,116,52374,87177.58620689655,160000
AUBURN HILLS,113,61048,64512.64601769912,98736
ALPHARETTA,107,63710,89188.24299065421,150000
BELLEVUE,103,73965,107097.28155339806,172000
REDMOND,103,74048,93454.19417475729,197825
JACKSONVILLE,103,61506,72779.69902912622,140000
