company,count,min,mean,max
TATA CONSULTANCY SERVICES LIMITED,4978,60091,73388.5570510245,170000
INFOSYS LIMITED,1068,97718,113220.26966292135,149518
WIPRO LIMITED,620,57117,80528.78064516129,122221
HCL AMERICA INC,520,60000,101857.2576923077,180200
IBM CORPORATION,330,56500,98470.08484848485,189552
TECH MAHINDRA (AMERICAS)INC,291,60000,81749.26116838488,146450
CAPGEMINI AMERICA INC,217,64700,107395.17050691244,160000
HEXAWARE TECHNOLOGIES INC,164,66000,95586.73170731707,160000
SYNTEL INC,154,62088,90238.72727272728,170737
LARSEN & TOUBRO INFOTECH LIMITED,105,69701,124927.19047619047,220000
PERSISTENT SYSTEMS INC,86,61048,79893.11627906977,109242
VIRTUSA CORPORATION,82,90397,112519.56097560975,132184
POLARIS CONSULTING & SERVICES LTD,72,87194,106221.83333333333,135000
MPHASIS CORPORATION,68,60000,90249.5294117647,145000
DELOITTE CONSULTING LLP,66,68890,100707.04545454546,132184
TECH MAHINDRA (AMERICAS) INC,64,71469,102848.84375,180000
PERFICIENT INC,46,77896,123387.82608695653,150000
IBM INDIA PRIVATE LIMITED,46,71319,109570.43478260869,189552
MINDTREE LIMITED,44,64979,94042.18181818182,133400
AMAZON WEB SERVICES INC,42,82400,136809.7142857143,182000
