tokens,count,min,mean,max
associ,5471,39360,123629.74995430451,340000
associ softwar engin,922,46740,99528.0748373102,162000
advisori senior associ,851,70658,84616.88719153937,140000
research associ,807,4667,61413.63692688972,173000
advisori associ,705,49858,68257.88510638298,96075
assur associ,619,47500,60471.20193861066,83000
senior associ,586,48000,89415.61774744028,340000
associ director,585,60000,114932.23418803418,275000
postdoctor associ,387,35006,55540.11369509044,500004
postdoctor research associ,348,38646,55059.24137931035,475000
