city,count,min,mean,max
NEW YORK,4236,39360,125897.96813031161,340000
JERSEY CITY,405,74339,120427.96543209876,160000
SAN FRANCISCO,366,51000,110274.51912568306,305000
CHICAGO,350,45000,86486.74,255000
SALT LAKE CITY,277,42328,82462.2166064982,112800
DALLAS,272,42300,78850.55147058824,145000
HOUSTON,241,44100,83447.95850622407,220000
BOSTON,229,48000,94230.23144104803,305000
ATLANTA,202,40000,72980.83663366336,106870
WILMINGTON,189,40000,96129.51851851853,129600
SAN JOSE,166,43980,89671.421686747,139277
LOS ANGELES,146,49900,87710.46575342465,280000
SEATTLE,136,38064,75119.9705882353,135000
SAN ANTONIO,115,33000,75809.13043478261,115170
CAMBRIDGE,108,49178,61799.76851851852,148000
COLUMBUS,105,53800,97656.81904761905,133702
TAMPA,100,47500,76805.52,153600
MCLEAN,98,59072,75749.67346938775,180000
BALTIMORE,93,43500,72640.55913978495,123000
NEWARK,88,48000,94973.47727272728,125000
