company,count,min,mean,max
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,1388,52400,77479.56772334295,140000
GOLDMAN SACHS & CO LLC,1173,62100,131623.6726342711,210000
JPMORGAN CHASE & CO,837,71552,111183.22939068101,200000
PRICEWATERHOUSECOOPERS LLP,730,47500,63431.232876712325,106371
KPMG LLP,648,46800,78036.41975308642,160763
MORGAN STANLEY SERVICES GROUP INC,594,55000,113408.48484848485,170000
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,504,63606,109383.24603174604,141856
GOLDMAN SACHS SERVICES LLC,475,62100,116926.31578947368,162600
BLACKROCK FINANCIAL MANAGEMENT INC,260,57387,92634.06923076924,135000
BOFA SECURITIES INC,212,107000,161622.64150943398,200000
MORGAN STANLEY & CO LLC,176,56500,138204.54545454544,200000
GOLDMAN SACHS BANK USA,170,65000,123305.88235294117,200000
LATENTVIEW ANALYTICS CORPORATION,152,88000,102667.84210526316,122500
KIRKLAND & ELLIS LLP,122,190000,205573.77049180327,305000
MERRILL LYNCH,114,125000,154210.52631578947,200000
THE BOSTON CONSULTING GROUP INC,99,90000,95353.53535353535,250000
WEILL CORNELL MEDICAL COLLEGE,76,50731,62787.65789473684,140000
CREDIT SUISSE SECURITIES (USA) LLC,70,120000,151571.42857142858,200000
DEUTSCHE BANK SECURITIES INC,66,60000,136666.66666666666,200000
SOFTVISION LLC,58,73882,80950.75862068965,96366
