tokens,count,min,mean,max
account auditor,3926,43000,86991.0524707081,242463
auditor,154,43440,69035.2012987013,130000
intern auditor,33,47500,71235.15151515152,110000
staff auditor,29,41870,54407.55172413793,72000
senior auditor,24,61006,83845.58333333333,125000
senior intern auditor,9,69805,79648.55555555556,97000
chart auditor,7,94869,113838.42857142857,117000
associ auditor,6,50000,82833.33333333333,102000
financi auditor,5,54538,78390.0,106547
lead auditor global intern audit assur,4,101645,101645.0,101645
