city,count,min,mean,max
NEW YORK,817,56100,92623.36107711139,230000
SAN FRANCISCO,228,61110,99569.9298245614,230000
HOUSTON,211,52042,87996.20379146919,143945
CHICAGO,200,50000,81172.625,159863
LOS ANGELES,181,47800,80420.3812154696,190000
SAN JOSE,161,60000,94776.96273291926,186137
DALLAS,159,52000,85036.17610062893,200000
BOSTON,155,52000,79386.62580645162,143300
MCLEAN,135,58000,91606.84444444445,189375
ATLANTA,97,52000,69105.23711340207,136686
DETROIT,83,54000,74448.81927710843,113326
SEATTLE,79,52000,92560.40506329114,186243
HOBOKEN,57,60000,92151.94736842105,230917
PHILADELPHIA,54,57000,90539.66666666667,182712
MINNEAPOLIS,49,53000,61323.93877551021,85200
ST. LOUIS,45,51000,82005.0,159863
IRVINE,44,52000,86247.25,148594
NASHVILLE,41,51000,65987.68292682926,87992
CHARLOTTE,40,52000,111035.85,189375
MIDLAND,33,67300,77776.90909090909,91500
