company,count,min,mean,max
ERNST & YOUNG US LLP,3903,47500,87143.87701767871,242463
FRIEDMAN LLP,12,58344,68476.66666666667,85000
GOOGLE LLC,10,89500,100100.0,116000
SIMPSON & SIMPSON LLP,9,50000,52000.0,63000
BRISTOL-MYERS SQUIBB COMPANY,8,60000,82572.5,101645
VASQUEZ & COMPANY LLP,8,56000,58500.0,63000
FAMILIA DEVELOPMENT LLC,7,94869,113838.42857142857,117000
SB & COMPANY LLC,6,53000,55178.666666666664,59072
ERNST & YOUNG,6,81236,81236.0,81236
PADILLA & COMPANY LLP,5,56100,61020.0,65000
DFS CORPORATE SERVICES LLC,5,70000,70000.0,70000
FLUOR ENTERPRISES INC,4,84178,84178.0,84178
THE BANK OF NEW YORK MELLON,4,65000,70000.0,75000
CONSTANTIN ASSOCIATES LLP,4,58500,69250.0,80000
VALLES VENDIOLA LLP,4,56100,61290.0,76860
F5 NETWORKS INC,4,65374,69555.0,73736
EVA CARE GROUP LLC,4,47800,49730.0,55520
BEASLEY MITCHELL & CO LLP,4,63500,63500.0,63500
JUUL LABS INC,4,93558,94816.5,96075
FDF ASSET MANAGEMENT LLC,3,85000,85000.0,85000
