tokens,count,min,mean,max
consult,6657,36067,79606.22427519904,185000
applic consult,4692,51000,91536.2879369139,155218
consult practition,2868,63200,76547.05718270571,98940
senior consult,2754,48298,88949.55301379811,179488
senior technic consult,1195,65000,114268.62343096234,172500
lead consult,1073,48194,103527.56663560112,159252
advisori consult,1062,42078,62214.088512241055,156200
consult profession,875,67909,79999.97485714285,102898
test consult,849,48200,76094.06360424028,137800
technic consult,739,61214,97880.42083897158,220000
