city,count,min,mean,max
NEW YORK,1357,40622,87662.22697126013,169520
CHICAGO,1178,36067,80505.67062818336,165000
ATLANTA,1004,43763,81995.8187250996,165000
CHARLOTTE,685,46592,87286.45839416058,138000
HOUSTON,677,54725,86465.10635155096,165000
SAN JOSE,597,51355,104543.67504187605,171000
RICHARDSON,499,77189,81795.82364729459,134545
DALLAS,474,52354,77529.20253164557,165000
SAN FRANCISCO,470,60031,106360.28510638297,172500
TAMPA,462,49358,81481.37445887446,140000
SUNNYVALE,439,64584,106309.1867881549,150000
PHILADELPHIA,390,58469,78139.08974358975,165000
BOSTON,374,38709,83578.57219251337,169520
HARTFORD,368,59713,89706.88858695653,150000
MILWAUKEE,310,49650,71972.9,147502
AUSTIN,305,48485,89461.68524590164,140000
INDIANAPOLIS,294,43347,72385.6462585034,138733
CINCINNATI,293,46259,79133.11604095563,130000
PHOENIX,289,40706,76924.3910034602,125000
IRVING,289,53477,89615.35640138408,123947
