tokens,count,min,mean,max
softwar develop,20742,43763,89188.00834056504,250000
softwar develop applic,6464,43805,90143.92295792079,212670
develop,5020,42000,82480.97629482072,200000
applic develop,3830,37690,86858.72610966058,194000
java develop,3522,42000,88193.61953435549,870000
senior softwar develop,2793,53560,102725.33190118152,246000
softwar develop engin,2745,35235,127730.72058287796,316250
softwar applic develop,1220,53000,90046.90901639345,145000
softwar develop system softwar,902,60000,93516.9955654102,164674
develop user interfac,890,52333,66577.68202247191,135000
