city,count,min,mean,max
SEATTLE,1279,74048,126164.93119624707,219861
IRVING,1238,64334,89662.59127625202,147741
NEW YORK,1169,54640,105063.94867408041,246000
SUNNYVALE,1071,77459,114510.46965452848,200000
TAMPA,1031,55000,78425.93598448108,132000
CHARLOTTE,1016,61339,96971.32972440944,194000
AUSTIN,929,62500,89976.99246501614,163240
DALLAS,764,64334,87655.60340314136,159000
HOUSTON,746,54780,91087.04155495978,230000
SAN JOSE,744,75275,106939.72177419355,159214
EDISON,744,65915,92557.92204301075,212670
ATLANTA,731,53000,87018.1121751026,150000
CHICAGO,681,58677,84660.34214390602,160000
PLANO,680,54267,89735.15,136000
COLUMBUS,576,60700,84124.91493055556,127837
PITTSBURGH,546,54000,83013.68498168499,225000
HARTFORD,540,66872,87164.42592592593,130000
ALPHARETTA,477,61260,86598.0817610063,125320
CINCINNATI,460,53726,76926.99565217391,135200
JERSEY CITY,452,67642,99996.22787610619,200000
