company,count,min,mean,max
LARSEN & TOUBRO INFOTECH LIMITED,5250,53560,89992.3380952381,142000
TATA CONSULTANCY SERVICES LIMITED,2490,52333,70462.69357429718,140000
AMAZONCOM SERVICES INC,1552,90880,135676.36920103093,185000
IBM CORPORATION,1484,48500,88271.35309973046,188700
MASTECH DIGITAL TECHNOLOGIES INC A MASTECH DIGITAL INC COMPANY,1050,60000,93566.59428571428,133806
RANDSTAD TECHNOLOGIES LLC,1021,73000,111161.04799216455,167044
MARLABS INC,842,60000,88640.61757719715,121100
L&T TECHNOLOGY SERVICES LIMITED,720,60000,84918.86666666667,121077
COMPUNNEL SOFTWARE GROUP INC,487,64600,89291.86652977412,121100
FEDERAL SOFT SYSTEMS INC,463,62443,83038.00215982721,109243
QUEST GLOBAL SERVICES- NA INC,436,58677,77489.74311926606,124540
LORHAN CORPORATION INC,400,60000,84768.63,118000
POPULUS GROUP LLC,348,62460,104365.0,164000
YASH TECHNOLOGIES INC,345,77230,81101.51304347826,110000
PIONEER CONSULTING SERVICES LLC,344,60674,88180.1511627907,126235
KFORCE INC,338,62000,86221.89349112425,118000
ORACLE AMERICA INC,336,69939,123926.63095238095,244290
PEOPLE TECH GROUP INC,314,73000,88747.64968152867,130000
HCL GLOBAL SYSTEMS INC,295,55940,81438.98305084746,121400
SYNECHRON INC,274,73819,93550.75182481752,160000
