city,count,min,mean,max
MOUNTAIN VIEW,3508,63904,138421.67445838085,315000
SAN FRANCISCO,2701,68000,140983.9622362088,316250
REDMOND,2691,53290,133631.46934225195,263710
SUNNYVALE,2593,68000,132822.21596606247,281410
SEATTLE,2184,60500,129839.51373626373,266862
NEW YORK,1623,47573,124341.64571780653,350000
SAN JOSE,1584,2810,122333.74621212122,223181
BELLEVUE,1008,60000,127999.90476190476,235000
AUSTIN,794,60000,97500.21536523929,190000
HOUSTON,685,48006,80560.08467153285,142000
PHOENIX,676,60000,82934.21893491125,130000
SANTA CLARA,648,68777,127995.32870370371,300000
BENTONVILLE,620,58750,77735.55483870968,125000
PALO ALTO,566,85883,144005.4964664311,251500
PLANO,509,60000,90852.18271119843,147126
DALLAS,500,59197,94308.806,940156
CHICAGO,499,43555,88812.87975951904,165797
IRVING,472,63814,93408.58898305085,180000
SAN DIEGO,451,60600,103609.0288248337,938000
ATLANTA,445,52000,88708.40224719101,147000
