company,count,min,mean,max
GOOGLE LLC,4461,78000,141852.0031383098,315000
MICROSOFT CORPORATION,3110,86500,139555.96977491962,263710
WIPRO LIMITED,2212,60000,73525.1609403255,107141
AMAZONCOM SERVICES INC,1589,90880,135607.01132787918,185000
LINKEDIN CORPORATION,1200,109242,128308.31333333334,174117
MPHASIS CORPORATION,1060,60000,76187.11509433962,147841
SYNTEL INC,988,60000,72243.86639676114,130000
WAL-MART ASSOCIATES INC,936,58750,100556.8717948718,175000
L&T TECHNOLOGY SERVICES LIMITED,807,53518,68398.95167286246,95683
UBER TECHNOLOGIES INC,658,72779,139236.76291793314,200000
FACEBOOK INC,624,78499,171165.3076923077,266862
LYFT INC,564,90000,174002.90780141845,245000
PAYPAL INC,526,82416,136827.65399239544,204152
SALESFORCECOM INC,462,70060,124014.58008658008,174117
JPMORGAN CHASE & CO,450,77000,125619.60666666667,230000
CERNER CORPORATION,404,62513,73284.75,127800
PROKARMA INC,392,70000,98528.63265306123,160000
IBM CORPORATION,360,53560,96119.18333333333,202524
SYNAPSIS INC,328,67205,83914.0487804878,121077
JUNIPER NETWORKS INC,264,78920,105952.94696969698,164674
