tokens,count,min,mean,max
manag,6828,37500,100684.73096074985,350000
project manag,5057,2141,96974.3063080878,206000
senior manag,1619,37595,117651.15626930204,260000
product manag,1310,30000,135495.68854961832,357006
program manag,1269,6000,129092.91646966116,285000
manag analyst,1158,2500,99613.84542314336,305000
inform technolog project manag,849,43846,88006.1613663133,152000
advisori manag,680,76705,117386.49117647059,170000
senior project manag,661,57803,116774.66263237518,189654
project manag iii,510,60000,97874.79411764706,165000
