city,count,min,mean,max
NEW YORK,1096,2500,119215.45346715329,305000
SUNNYVALE,559,60000,133878.6976744186,250000
SAN FRANCISCO,543,66851,133149.5211786372,250000
ATLANTA,526,55000,100236.33840304182,184174
MOUNTAIN VIEW,513,85000,146984.9649122807,285000
CHICAGO,507,30000,105230.48915187377,197867
HARTFORD,369,73046,96554.14905149052,170000
REDMOND,367,60000,115109.65667574931,219000
HOUSTON,352,55000,102205.69318181818,191402
SAN JOSE,312,6000,127438.03846153847,190000
CHARLOTTE,284,54267,98769.10211267606,233201
DALLAS,273,60000,108899.61538461539,170000
TAMPA,271,50000,91008.9446494465,221550
SEATTLE,268,51438,113775.4328358209,240000
PHOENIX,247,63939,94798.30364372469,147597
JERSEY CITY,237,61300,115672.12658227848,175000
IRVING,234,77189,105337.53846153847,161700
PLANO,229,73000,101583.6593886463,138091
PHILADELPHIA,217,74256,107656.13824884793,160982
AUSTIN,200,60000,100210.745,162800
