company,count,min,mean,max
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,5759,66040,98065.23285292585,141856
DELOITTE CONSULTING LLP,1570,67246,111789.70063694268,191402
LARSEN & TOUBRO INFOTECH LIMITED,1390,48984,87170.87410071942,180000
INFOSYS LIMITED,1184,84813,107371.01013513513,148803
HCL AMERICA INC,1023,60000,102558.33822091887,202500
GOOGLE LLC,797,96000,149694.60225846927,285000
WIPRO LIMITED,478,60000,79042.53556485356,122221
ERNST & YOUNG US LLP,450,60000,134045.67555555556,305000
VIRTUSA CORPORATION,418,86175,123523.85167464115,179730
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,404,100500,121515.33663366336,169520
KPMG LLP,296,80000,122032.66891891892,181868
MICROSOFT CORPORATION,236,88500,138561.24576271186,219000
CAPGEMINI AMERICA INC,218,60000,95820.86697247706,148900
DELOITTE & TOUCHE LLP,195,76705,109990.73846153847,156520
POLARIS CONSULTING & SERVICES LTD,186,77279,107817.7311827957,150000
IBM CORPORATION,184,63544,95353.76086956522,202428
ACCENTURE LLP,172,74256,109790.05813953489,223000
L&T TECHNOLOGY SERVICES LIMITED,147,63648,81388.4693877551,133000
FACEBOOK INC,136,81161,161790.10294117648,240000
AMAZONCOM SERVICES INC,131,51438,103647.43511450382,151400
