tokens,count,min,mean,max
vice presid,1891,53400,160570.97091485985,2000000
assist vice presid,501,54517,113461.52295409182,190000
vice presid softwar engin,344,96000,142583.72674418605,190000
assist vice presid programm prof mkts,87,88670,121265.44827586207,160000
vice presid programm prof mkts,86,106986,139664.82558139536,180000
assist vice presid cnslt app prog,44,102170,113350.77272727272,128100
vice presid quantit research,31,132600,144122.5806451613,185000
assist vice presid quantit financ analyst,30,95000,114437.66666666667,131565
vice presid team lead app dev prog,29,103000,127731.58620689655,148908
presid,28,70000,225501.67857142858,404709
