city,count,min,mean,max
NEW YORK,1697,53400,161263.2828520919,2000000
JERSEY CITY,415,83000,149348.25060240965,256300
SALT LAKE CITY,135,78900,110100.0,166100
CARY,93,95000,113713.69892473119,137500
MORRISVILLE,83,65000,102788.93975903615,140000
CHARLOTTE,70,88670,116435.75714285714,172866
PLANO,68,109000,136928.01470588235,170000
JACKSONVILLE,60,66050,98461.73333333334,149500
DALLAS,43,90900,130389.53488372093,175000
SAN FRANCISCO,43,101899,159673.83720930232,275000
COLUMBUS,39,96000,123500.76923076923,141110
WILMINGTON,37,66851,131862.86486486485,155000
CHICAGO,25,86923,117705.92,150625
BROOKLYN,22,104000,143863.63636363635,183000
PENNINGTON,22,107000,120885.5,148908
NEWARK,21,102170,159251.42857142858,300000
BALTIMORE,18,85000,115250.0,170000
PURCHASE,15,88000,122533.33333333333,140000
TAMPA,15,110000,119490.0,135000
HOUSTON,15,130000,139000.0,150000
