company,count,min,mean,max
GOLDMAN SACHS & CO LLC,693,78900,168491.93073593074,275000
GOLDMAN SACHS SERVICES LLC,412,81500,148715.53398058252,256300
JPMORGAN CHASE & CO,411,96000,143043.15328467154,210000
MORGAN STANLEY SERVICES GROUP INC,273,91288,147263.27472527474,250000
BANK OF AMERICA NA,171,88670,121563.04678362573,168000
DB USA CORE CORPORATION,159,66050,118419.92452830188,180000
CREDIT SUISSE SECURITIES (USA) LLC,147,65000,137435.79591836734,2000000
MORGAN STANLEY & CO LLC,98,95000,198020.4081632653,250000
DB GLOBAL TECHNOLOGY INC,91,95000,113685.42857142857,137500
GOLDMAN SACHS BANK USA,68,107700,159441.17647058822,225800
BOFA SECURITIES INC,64,98000,136971.3125,180000
BLACKROCK FINANCIAL MANAGEMENT INC,60,79186,118882.63333333333,179462
DEUTSCHE BANK NEW YORK BRANCH,53,91620,133792.28301886792,250000
MERRILL LYNCH,40,107000,125915.1,164439
DEUTSCHE BANK SECURITIES INC,35,90000,168085.7142857143,250000
CREDIT SUISSE SERVICES (USA) LLC,31,69000,102838.70967741935,140000
JEFFERIES LLC,24,89000,137500.0,250000
MORGAN STANLEY SMITH BARNEY LLC,24,85000,119054.16666666667,170000
BLACKROCK INSTITUTIONAL TRUST COMPANY NA,14,101899,131714.35714285713,189654
MORGAN STANLEY INVESTMENT MANAGEMENT INC,10,110000,171000.0,225000
