tokens,count,min,mean,max
programm analyst,5613,44158,81616.63317299126,184000
comput programm,2326,39229,74810.05503009458,120000
programm develop,647,39800,77276.2627511592,160000
softwar programm,604,55940,67971.36423841059,145000
comput programm configur,589,54000,81768.59762308998,124758
applic programm,228,50000,86404.5350877193,155000
analyst programm,194,57741,76078.4175257732,100815
senior programm analyst,194,60000,97429.54639175258,180000
comput programm analyst,171,60000,83074.1052631579,120000
programm,134,56222,80122.17164179105,121077
