city,count,min,mean,max
NEW YORK,324,56742,87800.8549382716,180000
SAN ANTONIO,279,59200,79920.90322580645,135000
PLANO,252,60000,78452.93650793651,124000
SAN JOSE,251,67288,89550.34661354581,134850
HARTFORD,230,60000,77538.40434782609,95200
AUSTIN,206,60000,79566.0,115000
HOUSTON,189,60000,77619.48148148147,130000
ATLANTA,172,65000,77958.54069767441,114881
ALPHARETTA,167,60000,77125.98203592814,123000
JERSEY CITY,166,56742,82313.31927710843,145000
FRANKLIN,142,66622,68149.8661971831,90000
LOS ANGELES,137,58490,81928.37956204379,166234
IRVING,128,60000,79979.390625,116854
MCLEAN,122,64000,78643.19672131147,120000
CHARLOTTE,121,63398,89008.0826446281,145000
REDMOND,117,60000,87724.96581196581,124758
TAMPA,113,54579,71422.75221238939,108900
HOBOKEN,108,60000,81955.02777777778,118000
IRVINE,107,65520,85548.57943925234,153294
LONE TREE,106,61069,70316.16981132075,87173
