company,count,min,mean,max
HCL AMERICA INC,1942,60000,78761.5746652935,150242
WIPRO LIMITED,952,60000,74168.53571428571,107141
LARSEN & TOUBRO INFOTECH LIMITED,845,60736,75519.26627218934,118000
TECH MAHINDRA (AMERICAS)INC,761,60000,72316.1629434954,107680
CAPGEMINI AMERICA INC,601,39800,76362.63727121464,160000
ACCENTURE LLP,589,54000,81768.59762308998,124758
MPHASIS CORPORATION,552,60000,66737.03623188406,87714
HEXAWARE TECHNOLOGIES INC,378,60000,75239.52910052911,100000
RELIABLE SOFTWARE RESOURCES INC,320,60000,81512.5,103000
PERSISTENT SYSTEMS INC,194,61589,83630.47422680413,102898
NESS USA INC,139,60000,84261.03597122303,130000
IBM CORPORATION,102,56909,82029.35294117648,138861
LIMSONS IT SERVICES LLC,87,77002,77002.0,77002
TECH MAHINDRA (AMERICAS) INC,76,60000,75302.65789473684,120000
MINDTREE LIMITED,72,60000,67989.88888888889,80000
V-SOFT CONSULTING GROUP INC,71,60000,82436.61971830986,107000
FIRST TEK INC,64,61277,81448.46875,102898
PRELUDE SYSTEMS INC,64,66148,95173.28125,125320
IBM INDIA PRIVATE LIMITED,56,71802,78437.21428571429,96221
JOBS N PROFILES INC,50,80330,80330.0,80330
